                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
1145         KELT-19 A b   1294.02   21.39   0.06   1.62    255.00          0  Primary Transit  2017         NaN
1146           KELT-20 b   1118.51   19.43   0.05   2.00       NaN          0  Primary Transit  2017         NaN
1147           KELT-21 b   1243.15   17.76   0.05   1.46    415.00          0  Primary Transit  2017         NaN
1148          Kepler-4 b     26.21    4.00   0.05   1.22    550.00          0  Primary Transit  2010         NaN
1149          Kepler-5 b    672.13   16.03   0.05   1.37       NaN          0  Primary Transit  2010         NaN
1150          Kepler-6 b    212.70   14.82   0.05   1.21       NaN          0  Primary Transit  2010         NaN
1151          Kepler-7 b    137.67   18.08   0.06   1.36       NaN          0  Primary Transit  2010         NaN
1152          Kepler-8 b    191.72   15.89   0.05   1.21   1330.00          0  Primary Transit  2010         NaN
1153          Kepler-9 b     45.12   11.09   0.14   1.00       NaN          0  Primary Transit  2010         NaN
1154          Kepler-9 c     31.01   10.69   0.23   1.00       NaN          0  Primary Transit  2010         NaN
1155          Kepler-9 d      5.25    2.00   0.03   1.00       NaN          0  Primary Transit  2010         NaN
1156         Kepler-10 b      3.33    1.47   0.02   0.91    173.00          0  Primary Transit  2011         NaN
1157         Kepler-10 c     19.19    2.32   0.24   0.91    173.00          0  Primary Transit  2011         NaN
1158         Kepler-11 b      1.90    1.80   0.09   0.95       NaN          0  Primary Transit  2011         NaN
1159         Kepler-11 c      2.90    2.87   0.11   0.95       NaN          0  Primary Transit  2011         NaN
1160         Kepler-11 d      7.30    3.12   0.16   0.95       NaN          0  Primary Transit  2011         NaN
1161         Kepler-11 e      9.54    4.19   0.19   0.95       NaN          0  Primary Transit  2011         NaN
1162         Kepler-11 f      2.00    2.49   0.25   0.95       NaN          0  Primary Transit  2011         NaN
1163         Kepler-11 g      9.79    3.67   0.46   0.95       NaN          0  Primary Transit  2011         NaN
1164         Kepler-12 b    137.03   18.98   0.06   1.17       NaN          0  Primary Transit  2011         NaN
1165       Kepler-13 A b   2098.40   15.75   0.04   2.05       NaN          0  Primary Transit  2011         NaN
